Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
10.0.1.1-8.8.8.8-50659-53-17,10.0.1.1,50659,8.8.8.8,53,17,11/04/2022 11:47:45 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-43247-53-17,10.0.1.1,43247,8.8.8.8,53,17,11/04/2022 11:25:48 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-10.0.1.2-43048-55555-6,10.0.1.1,43048,10.0.1.2,55555,6,11/04/2022 11:26:09 PM,1,2,1,889,13,881,8,444.5,617.30422,13,13,13,0,9.02E+08,3000000,0.5,0.7071067812,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,32,2000000,1000000,8,881,227.5,435.6730425,189811,0,0,0,3,3,0,0,0,0,303.3333333,444.5,13,0,0,0,0,0,0,0,0,0,0,502,509,1,32,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-60936-53-17,10.0.1.1,60936,8.8.8.8,53,17,11/04/2022 11:25:28 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-10.0.1.2-43016-55555-6,10.0.1.1,43016,10.0.1.2,55555,6,11/04/2022 11:23:28 PM,1,2,1,841,13,833,8,420.5,583.3630945,13,13,13,0,8.54E+08,3000000,0.5,0.7071067812,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,64,32,2000000,1000000,8,833,215.5,411.6734142,169475,0,0,0,3,3,0,0,0,0,287.3333333,420.5,13,0,0,0,0,0,0,0,0,0,0,502,509,1,32,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-47983-53-17,10.0.1.1,47983,8.8.8.8,53,17,11/04/2022 11:47:35 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-37646-53-17,10.0.1.1,37646,8.8.8.8,53,17,11/04/2022 11:43:13 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-55306-53-17,10.0.1.1,55306,8.8.8.8,53,17,11/04/2022 11:44:20 PM,5003,4,0,156,0,39,39,39,0,0,0,0,0,31181.29123,799.5202878,1667.666667,2888.483397,5003,0,5003,1667.666667,2888.483397,5003,0,0,0,0,0,0,0,0,0,0,188,0,799.5202878,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31181,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-47402-53-17,10.0.1.1,47402,8.8.8.8,53,17,11/04/2022 11:45:07 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2889.060747,5004,0,5004,1668,2889.060747,5004,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
10.0.1.1-8.8.8.8-58030-53-17,10.0.1.1,58030,8.8.8.8,53,17,11/04/2022 11:41:59 PM,5004,4,0,156,0,39,39,39,0,0,0,0,0,31175.05995,799.3605116,1668,2888.194765,5003,0,5004,1668,2888.194765,5003,0,0,0,0,0,0,0,0,0,0,188,0,799.3605116,0,39,39,39,0,0,0,0,0,0,0,0,0,0,0,48.75,39,0,0,0,0,156,4,31175,0,0,0,0,0,0,3,47,0,0,0,0,0,0,0,0,Benign
